swimmer,style,epoch_ms,n_gt_turns,n_det_turns,tp,fp,fn,count_exact,count_within1,drift_s,lap_mae_s
2,Backstroke,1527071280739,5,1,1,0,4,0,0,,
2,Backstroke,1527503192471,3,3,2,1,1,1,1,0.5000000002187619,
3,Backstroke,1527676729499,6,10,3,7,3,0,0,0.6999999994999939,0.4166666663749936
6,Backstroke,1527269720935,4,3,1,2,3,0,1,,
7,Backstroke,1527678642767,2,1,1,0,1,0,1,,
7,Backstroke,1531502293578,0,0,0,0,0,1,1,,
7,Backstroke,1531502440378,0,1,0,1,0,0,1,,
8,Backstroke,1527070666939,0,0,0,0,0,1,1,,
9,Backstroke,1527678106737,4,3,3,0,1,0,1,1.366666665812545,0.6833333329062725
11,Backstroke,1526814417177,0,0,0,0,0,1,1,,
11,Backstroke,1526814736755,0,0,0,0,0,1,1,,
12,Backstroke,1527591493587,3,3,3,0,0,1,1,0.7666666661874899,0.38333333309374495
18,Backstroke,1526900169049,0,7,0,7,0,0,0,,
18,Backstroke,1526987796425,1,6,0,6,1,0,0,,
19,Backstroke,1533731739058,0,1,0,1,0,0,1,,
19,Backstroke,1533731812724,0,0,0,0,0,1,1,,
20,Backstroke,1526898184535,0,0,0,0,0,1,1,,
20,Backstroke,1526898396277,0,1,0,1,0,0,1,,
22,Backstroke,1526815088833,0,3,0,3,0,0,0,,
23,Backstroke,1527157836941,0,0,0,0,0,1,1,,
23,Backstroke,1527157896311,0,1,0,1,0,0,1,,
23,Backstroke,1527158095793,0,0,0,0,0,1,1,,
23,Backstroke,1527158155197,0,2,0,2,0,0,0,,
23,Backstroke,1527158301976,4,3,0,3,4,0,1,,
23,Backstroke,1527158551894,0,4,0,4,0,0,0,,
23,Backstroke,1527158673495,1,2,0,2,1,0,1,,
27,Backstroke,1527158518833,2,2,2,0,0,1,1,0.6999999982500071,0.6999999982500071
28,Backstroke,1527269771481,4,3,3,0,1,0,1,0.5333333340000195,0.5333333340000337
29,Backstroke,1526813095113,3,2,0,2,3,0,1,,
30,Backstroke,1526900949149,0,0,0,0,0,1,1,,
32,Backstroke,1526984464914,2,1,1,0,1,0,1,,
33,Backstroke,1526815500947,1,1,0,1,1,1,1,,
38,Backstroke,1526901552687,0,1,0,1,0,0,1,,
