swimmer,style,epoch_ms,n_gt_turns,n_det_turns,tp,fp,fn,count_exact,count_within1,drift_s,lap_mae_s
2,Breaststroke,1527071936580,3,6,3,3,0,0,0,1.6999999989374714,1.049999999343747
4,Breaststroke,1526812086955,1,33,0,33,1,0,0,,
4,Breaststroke,1527503875669,6,20,6,14,0,0,0,2.2000000007187737,2.573333334143757
4,Breaststroke,1527591584926,3,9,2,7,1,0,0,3.3666666707499644,
6,Breaststroke,1527271194495,0,4,0,4,0,0,0,,
7,Breaststroke,1527678873261,3,3,3,0,0,1,1,3.1000000039999946,2.1500000026249957
7,Breaststroke,1531501343548,0,3,0,3,0,0,0,,
7,Breaststroke,1531501772051,3,4,3,1,0,0,1,0.29999999981251335,0.14999999990625312
7,Breaststroke,1532364456811,0,0,0,0,0,1,1,,
11,Breaststroke,1526814497834,0,2,0,2,0,0,0,,
11,Breaststroke,1526814840493,0,2,0,2,0,0,0,,
19,Breaststroke,1533731645279,0,1,0,1,0,0,1,,
22,Breaststroke,1526814837140,0,2,0,2,0,0,0,,
23,Breaststroke,1527158020323,0,3,0,3,0,0,0,,
25,Breaststroke,1526987844496,1,0,0,0,1,0,1,,
27,Breaststroke,1527159664283,2,2,2,0,0,1,1,2.5666666602500072,2.5666666602500072
28,Breaststroke,1527270451652,1,0,0,0,1,0,1,,
29,Breaststroke,1526812361830,0,1,0,1,0,0,1,,
29,Breaststroke,1526812559376,0,1,0,1,0,0,1,,
29,Breaststroke,1526812763469,0,6,0,6,0,0,0,,
30,Breaststroke,1526900582772,1,1,0,1,1,1,1,,
30,Breaststroke,1526901120975,1,1,0,1,1,1,1,,
38,Breaststroke,1526901357636,1,0,0,0,1,0,1,,
