swimmer,style,epoch_ms,n_gt_turns,n_det_turns,tp,fp,fn,count_exact,count_within1,drift_s,lap_mae_s
2,Butterfly,1527503549865,0,0,0,0,0,1,1,,
2,Butterfly,1532600827326,0,1,0,1,0,0,1,,
5,Butterfly,1532514905888,0,4,0,4,0,0,0,,
5,Butterfly,1532515337440,0,1,0,1,0,0,1,,
6,Butterfly,1527269602116,1,3,1,2,0,0,0,,
6,Butterfly,1527270435726,0,3,0,3,0,0,0,,
7,Butterfly,1527678406916,0,0,0,0,0,1,1,,
7,Butterfly,1531502229656,0,0,0,0,0,1,1,,
7,Butterfly,1531502371531,0,0,0,0,0,1,1,,
7,Butterfly,1532367411257,3,0,0,0,3,0,0,,
7,Butterfly,1533736091058,7,6,6,0,1,0,1,1.966666666820288,2.020000000157805
10,Butterfly,1527675371693,9,10,4,6,5,0,1,2.633333331687709,0.2999999998750127
10,Butterfly,1531393764517,0,0,0,0,0,1,1,,
10,Butterfly,1531393903093,0,0,0,0,0,1,1,,
10,Butterfly,1531394005449,0,0,0,0,0,1,1,,
11,Butterfly,1526814353094,0,0,0,0,0,1,1,,
11,Butterfly,1526814665313,0,0,0,0,0,1,1,,
11,Butterfly,1526815003316,0,0,0,0,0,1,1,,
11,Butterfly,1530550730038,7,7,5,2,2,1,1,0.7666666666407309,0.41111111109635107
11,Butterfly,1530551791851,9,13,2,11,7,0,0,4.833333333144509,
11,Butterfly,1530786814398,0,1,0,1,0,0,1,,
11,Butterfly,5420449245383,0,1,0,1,0,0,1,,
12,Butterfly,1527590763938,3,0,0,0,3,0,0,,
12,Butterfly,1527590997927,3,2,1,1,2,0,1,,
13,Butterfly,1531760678256,0,0,0,0,0,1,1,,
13,Butterfly,1531760909691,0,1,0,1,0,0,1,,
13,Butterfly,1531762090534,1,0,0,0,1,0,1,,
13,Butterfly,1531762370440,0,0,0,0,0,1,1,,
13,Butterfly,1531762934543,0,0,0,0,0,1,1,,
14,Butterfly,1526986020939,0,0,0,0,0,1,1,,
16,Butterfly,1530549580633,0,0,0,0,0,1,1,,
17,Butterfly,1530788264266,8,8,8,0,0,1,1,0.6666666668436392,0.5714285715937238
18,Butterfly,1526987286022,0,0,0,0,0,1,1,,
18,Butterfly,1527589363710,4,7,3,4,1,0,0,0.800000000875059,0.8333333340625302
18,Butterfly,1531220006196,0,0,0,0,0,1,1,,
18,Butterfly,1531220568766,0,0,0,0,0,1,1,,
19,Butterfly,1533731563217,0,0,0,0,0,1,1,,
21,Butterfly,1532602682287,9,7,6,1,3,0,0,3.533333334468807,3.0583333343281254
22,Butterfly,1526815002676,0,0,0,0,0,1,1,,
23,Butterfly,1527157710369,0,0,0,0,0,1,1,,
23,Butterfly,1527157772314,0,0,0,0,0,1,1,,
24,Butterfly,1532517316130,0,0,0,0,0,1,1,,
26,Butterfly,1527875865974,0,3,0,3,0,0,0,,
26,Butterfly,1527934821849,4,7,1,6,3,0,0,,
26,Butterfly,1530786845192,0,0,0,0,0,1,1,,
27,Butterfly,1527157800573,0,1,0,1,0,0,1,,
28,Butterfly,1527271253665,0,0,0,0,0,1,1,,
30,Butterfly,1526900816309,0,0,0,0,0,1,1,,
30,Butterfly,1526901331445,0,0,0,0,0,1,1,,
31,Butterfly,1527675310212,9,13,5,8,4,0,0,1.6000000020000016,0.7333333340833406
32,Butterfly,1526984700081,0,1,0,1,0,0,1,,
32,Butterfly,1530787382683,0,0,0,0,0,1,1,,
34,Butterfly,1527934739837,0,5,0,5,0,0,0,,
35,Butterfly,1527589544205,1,0,0,0,1,0,1,,
35,Butterfly,1527589789686,1,1,0,1,1,1,1,,
36,Butterfly,1530549578531,0,0,0,0,0,1,1,,
36,Butterfly,1530551400961,0,2,0,2,0,0,0,,
36,Butterfly,1532363367602,7,4,3,1,4,0,0,1.3999999999863348,
