swimmer,style,epoch_ms,n_gt_turns,n_det_turns,tp,fp,fn,count_exact,count_within1,drift_s,lap_mae_s
0,Freestyle,1527873200322,1,1,1,0,0,1,1,,
0,Freestyle,1527874144300,3,3,3,0,0,1,1,0.5000000006250218,0.2500000003125109
1,Freestyle,1527676714707,12,8,6,2,6,0,0,1.1666666680001754,0.9500000011875471
2,Freestyle,1527072298681,2,2,0,2,2,1,1,,
2,Freestyle,1527072607736,8,6,6,0,2,0,0,2.033333332062398,1.0916666659531344
2,Freestyle,1527502597564,5,3,3,0,2,0,0,0.20000000009372343,0.033333333312498326
2,Freestyle,1532600456605,0,0,0,0,0,1,1,,
4,Freestyle,1526810816300,1,1,1,0,0,1,1,,
4,Freestyle,1526810977061,10,7,7,0,3,0,0,0.16666666671881103,0.25833333341409315
4,Freestyle,1526811804346,2,3,2,1,0,0,1,0.2666666667500124,0.2666666667500124
4,Freestyle,1527504545297,4,4,3,1,1,1,1,0.20000000003128093,0.43333333343747427
4,Freestyle,1527592571955,3,1,1,0,2,0,0,,
6,Freestyle,1527268862333,4,2,1,1,3,0,0,,
6,Freestyle,1527270626363,0,1,0,1,0,0,1,,
7,Freestyle,1527679104993,3,3,3,0,0,1,1,0.46666666725002415,0.5666666671249914
7,Freestyle,1531501572116,3,3,3,0,0,1,1,6.249933903745841e-11,0.4333333330937492
7,Freestyle,1531502006365,3,3,3,0,0,1,1,0.16666666656249163,0.08333333328125292
7,Freestyle,1532364266099,3,3,3,0,0,1,1,1.4999999999853628,0.7499999999926743
7,Freestyle,1533735583370,7,8,7,1,0,0,1,0.30000000002343086,0.6611111111627631
7,Freestyle,1533736540367,6,6,6,0,0,1,1,0.5000000000390514,0.2333333333484262
8,Freestyle,1527071330260,7,7,7,0,0,1,1,0.39999999899987415,0.3777777768333195
8,Freestyle,1527072163212,3,3,2,1,1,1,1,0.33333333249998987,0.33333333249998987
9,Freestyle,1527070549365,0,2,0,2,0,0,0,,
11,Freestyle,1526814573646,0,0,0,0,0,1,1,,
12,Freestyle,1527592069231,6,4,4,0,2,0,0,0.6666666662499665,0.37777777754165953
