swimmer,n_sessions,gt_turns,det_turns,tp,fp,fn,count_exact_rate,recall,precision,f1
11,2,0,0,0,0,0,1.0,,,
12,1,3,3,3,0,0,1.0,1.0,1.0,1.0
18,2,1,13,0,13,1,0.0,0.0,0.0,
19,2,0,1,0,1,0,0.5,,0.0,
2,2,8,4,3,1,5,0.5,0.375,0.75,0.5
20,2,0,1,0,1,0,0.5,,0.0,
22,1,0,3,0,3,0,0.0,,0.0,
23,7,5,12,0,12,5,0.2857142857142857,0.0,0.0,
27,1,2,2,2,0,0,1.0,1.0,1.0,1.0
28,1,4,3,3,0,1,0.0,0.75,1.0,0.8571428571428571
29,1,3,2,0,2,3,0.0,0.0,0.0,
3,1,6,10,3,7,3,0.0,0.5,0.3,0.37499999999999994
30,1,0,0,0,0,0,1.0,,,
32,1,2,1,1,0,1,0.0,0.5,1.0,0.6666666666666666
33,1,1,1,0,1,1,1.0,0.0,0.0,
38,1,0,1,0,1,0,0.0,,0.0,
6,1,4,3,1,2,3,0.0,0.25,0.3333333333333333,0.28571428571428575
7,3,2,2,1,1,1,0.3333333333333333,0.5,0.5,0.5
8,1,0,0,0,0,0,1.0,,,
9,1,4,3,3,0,1,0.0,0.75,1.0,0.8571428571428571
