swimmer,n_sessions,gt_turns,det_turns,tp,fp,fn,count_exact_rate,recall,precision,f1
11,2,0,4,0,4,0,0.0,,0.0,
19,1,0,1,0,1,0,0.0,,0.0,
2,1,3,6,3,3,0,0.0,1.0,0.5,0.6666666666666666
22,1,0,2,0,2,0,0.0,,0.0,
23,1,0,3,0,3,0,0.0,,0.0,
25,1,1,0,0,0,1,0.0,0.0,,
27,1,2,2,2,0,0,1.0,1.0,1.0,1.0
28,1,1,0,0,0,1,0.0,0.0,,
29,3,0,8,0,8,0,0.0,,0.0,
30,2,2,2,0,2,2,1.0,0.0,0.0,
38,1,1,0,0,0,1,0.0,0.0,,
4,3,10,62,8,54,2,0.0,0.8,0.12903225806451613,0.2222222222222222
6,1,0,4,0,4,0,0.0,,0.0,
7,4,6,10,6,4,0,0.5,1.0,0.6,0.7499999999999999
