swimmer,n_sessions,gt_turns,det_turns,tp,fp,fn,count_exact_rate,recall,precision,f1
10,4,9,10,4,6,5,0.75,0.4444444444444444,0.4,0.4210526315789474
11,7,16,22,7,15,9,0.5714285714285714,0.4375,0.3181818181818182,0.3684210526315789
12,2,6,2,1,1,5,0.0,0.16666666666666666,0.5,0.25
13,5,1,1,0,1,1,0.6,0.0,0.0,
14,1,0,0,0,0,0,1.0,,,
16,1,0,0,0,0,0,1.0,,,
17,1,8,8,8,0,0,1.0,1.0,1.0,1.0
18,4,4,7,3,4,1,0.75,0.75,0.42857142857142855,0.5454545454545454
19,1,0,0,0,0,0,1.0,,,
2,2,0,1,0,1,0,0.5,,0.0,
21,1,9,7,6,1,3,0.0,0.6666666666666666,0.8571428571428571,0.75
22,1,0,0,0,0,0,1.0,,,
23,2,0,0,0,0,0,1.0,,,
24,1,0,0,0,0,0,1.0,,,
26,3,4,10,1,9,3,0.3333333333333333,0.25,0.1,0.14285714285714288
27,1,0,1,0,1,0,0.0,,0.0,
28,1,0,0,0,0,0,1.0,,,
30,2,0,0,0,0,0,1.0,,,
31,1,9,13,5,8,4,0.0,0.5555555555555556,0.38461538461538464,0.4545454545454546
32,2,0,1,0,1,0,0.5,,0.0,
34,1,0,5,0,5,0,0.0,,0.0,
35,2,2,1,0,1,2,0.5,0.0,0.0,
36,3,7,6,3,3,4,0.3333333333333333,0.42857142857142855,0.5,0.4615384615384615
5,2,0,5,0,5,0,0.0,,0.0,
6,2,1,6,1,5,0,0.0,1.0,0.16666666666666666,0.2857142857142857
7,5,10,6,6,0,4,0.6,0.6,1.0,0.7499999999999999
