swimmer,n_sessions,gt_turns,det_turns,tp,fp,fn,count_exact_rate,recall,precision,f1
0,2,4,4,4,0,0,1.0,1.0,1.0,1.0
1,1,12,8,6,2,6,0.0,0.5,0.75,0.6
11,1,0,0,0,0,0,1.0,,,
12,1,6,4,4,0,2,0.0,0.6666666666666666,1.0,0.8
13,2,14,9,9,0,5,0.5,0.6428571428571429,1.0,0.782608695652174
14,4,24,18,6,12,18,0.5,0.25,0.3333333333333333,0.28571428571428575
15,1,5,4,4,0,1,0.0,0.8,1.0,0.888888888888889
18,9,37,37,26,11,11,0.3333333333333333,0.7027027027027027,0.7027027027027027,0.7027027027027027
19,3,10,10,10,0,0,1.0,1.0,1.0,1.0
2,4,15,11,9,2,6,0.5,0.6,0.8181818181818182,0.6923076923076923
20,4,0,24,0,24,0,0.25,,0.0,
22,4,6,10,1,9,5,0.5,0.16666666666666666,0.1,0.125
26,2,1,4,1,3,0,0.0,1.0,0.25,0.4
27,4,9,13,8,5,1,0.5,0.8888888888888888,0.6153846153846154,0.7272727272727274
28,5,4,5,3,2,1,0.4,0.75,0.6,0.6666666666666665
29,5,19,26,16,10,3,0.6,0.8421052631578947,0.6153846153846154,0.7111111111111111
30,2,1,1,1,0,0,1.0,1.0,1.0,1.0
31,1,16,19,5,14,11,0.0,0.3125,0.2631578947368421,0.2857142857142857
32,3,6,1,1,0,5,0.3333333333333333,0.16666666666666666,1.0,0.2857142857142857
33,4,10,7,7,0,3,0.5,0.7,1.0,0.8235294117647058
34,1,0,0,0,0,0,1.0,,,
35,6,18,11,11,0,7,0.5,0.6111111111111112,1.0,0.7586206896551725
37,3,18,13,10,3,8,0.3333333333333333,0.5555555555555556,0.7692307692307693,0.6451612903225806
38,1,2,2,2,0,0,1.0,1.0,1.0,1.0
39,3,14,7,4,3,10,0.0,0.2857142857142857,0.5714285714285714,0.38095238095238093
4,5,20,16,14,2,6,0.4,0.7,0.875,0.7777777777777777
6,2,4,3,1,2,3,0.0,0.25,0.3333333333333333,0.28571428571428575
7,6,25,26,25,1,0,0.8333333333333334,1.0,0.9615384615384616,0.9803921568627451
8,2,10,10,9,1,1,1.0,0.9,0.9,0.9
9,1,0,2,0,2,0,0.0,,0.0,
